timestamp;gyro_x;gyro_y;gyro_z;gyro_temp;Ref V1;Ref V2;Ref V3;Ref V4;Ref V5;Ref Valid;Ref V_r;Ref lambda_r;SunS temperature_a;SunS temperature_b;SunS temperature_c;SunS temperature_d;SunS temperature_structure;ALS VL 1A;ALS VL 1B;ALS VL 1C;ALS VL 1D;ALS VL 2A;ALS VL 2B;ALS VL 2C;ALS VL 2D;ALS VL 3A;ALS VL 3B;ALS VL 3C;ALS VL 3D
1630579.85;-2.08695652174;-3.61739130435;1.53043478261;-4.575;3537.86157227;3484.46948242;3517.52172852;3498.453125;3569.64257812;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.70296875;8599;1530;1530;8062;8636;1502;1453;7758;8653;1500;1503;7766
1630582.45;-2.15652173913;-3.68695652174;1.46086956522;-4.62857142857;3537.86157227;3484.46948242;3517.52172852;3498.453125;3569.64257812;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.70296875;8508;1524;1512;8013;8549;1495;1436;7739;8545;1492;1484;7730
1630584.4;-2.15652173913;-3.61739130435;1.46086956522;-4.65357142857;3537.86157227;3484.46948242;3517.52172852;3498.453125;3568.37133789;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.70296875;8432;1518;1495;7975;8485;1489;1419;7724;8464;1484;1466;7701
1630586.4;-2.22608695652;-3.61739130435;1.46086956522;-4.75357142857;3537.86157227;3484.46948242;3517.52172852;3498.453125;3569.64257812;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.70296875;8345;1510;1477;7935;8418;1481;1401;7708;8387;1476;1447;7667
1630617.95;-2.22608695652;-3.54782608696;1.53043478261;-4.65;3537.86157227;3484.46948242;3516.25048828;3498.453125;3568.37133789;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.70296875;8190;1497;1442;7877;8296;1469;1368;7680;8258;1462;1413;7602
1630619.95;-2.22608695652;-3.61739130435;1.46086956522;-4.7;3537.86157227;3485.74072266;3517.52172852;3499.72436523;3568.37133789;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.70296875;8097;1489;1420;7841;8222;1462;1348;7645;8171;1455;1392;7558
1630621.9;-2.22608695652;-3.61739130435;1.46086956522;-4.71785714286;3537.86157227;3485.74072266;3516.25048828;3499.72436523;3568.37133789;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.70296875;8007;1482;1401;7802;8150;1455;1330;7601;8071;1449;1372;7513
1630624.5;-2.08695652174;-3.54782608696;1.46086956522;-4.51785714286;3537.86157227;3485.74072266;3516.25048828;3499.72436523;3568.37133789;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.894375;7903;1478;1380;7741;8055;1451;1311;7546;7934;1445;1350;7454
1630626.5;-2.22608695652;-3.61739130435;1.53043478261;-4.72142857143;3537.86157227;3485.74072266;3514.97924805;3499.72436523;3568.37133789;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.894375;7823;1477;1366;7686;7981;1450;1297;7501;7833;1446;1335;7403
1630628.45;-2.22608695652;-3.54782608696;1.46086956522;-4.79285714286;3537.86157227;3485.74072266;3514.97924805;3499.72436523;3568.37133789;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.894375;7741;1478;1354;7629;7903;1451;1285;7451;7733;1448;1322;7349
1630632.2;-2.22608695652;-3.61739130435;1.46086956522;-4.87142857143;3536.59033203;3484.46948242;3513.70800781;3499.72436523;3568.37133789;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.894375;7590;1485;1336;7533;7770;1459;1267;7355;7522;1457;1304;7255
1630634.2;-2.22608695652;-3.61739130435;1.46086956522;-4.51785714286;3536.59033203;3483.19824219;3512.43676758;3499.72436523;3568.37133789;True;0;0;6.57462195924;6.57462195924;5.24934383202;5.24934383202;4.894375;7513;1492;1330;7481;7705;1466;1260;7309;7412;1465;1297;7209
1630636.15;-2.15652173913;-3.61739130435;1.53043478261;-4.69642857143;3536.59033203;3483.19824219;3511.16552734;3499.72436523;3568.37133789;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.894375;7434;1500;1327;7423;7635;1475;1255;7266;7315;1474;1293;7162
1630648.25;-2.22608695652;-3.68695652174;1.53043478261;-4.56428571429;3532.77661133;3475.57080078;3504.80932617;3497.18188477;3569.64257812;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.70296875;6959;1587;1344;7122;7214;1564;1272;7075;6762;1564;1316;6911
1630650.6;-2.22608695652;-3.61739130435;1.53043478261;-4.63571428571;3531.50537109;3473.02832031;3502.2668457;3495.91064453;3569.64257812;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.70296875;6872;1609;1354;7073;7131;1587;1282;7028;6678;1589;1326;6867
