timestamp;gyro_x;gyro_y;gyro_z;gyro_temp;Ref V1;Ref V2;Ref V3;Ref V4;Ref V5;Ref Valid;Ref V_r;Ref lambda_r;SunS temperature_a;SunS temperature_b;SunS temperature_c;SunS temperature_d;SunS temperature_structure;ALS VL 1A;ALS VL 1B;ALS VL 1C;ALS VL 1D;ALS VL 2A;ALS VL 2B;ALS VL 2C;ALS VL 2D;ALS VL 3A;ALS VL 3B;ALS VL 3C;ALS VL 3D
365182.525;-2.15652173913;-3.40869565217;1.04347826087;-4.82857142857;3202.25415039;2635.28100586;2772.57495117;3148.86206055;3539.1328125;True;0;0;23.0659583421;24.1674045496;24.1674045496;21.9689986772;22.8865625;4277;12731;6750;2797;4126;12382;6535;2817;4625;12285;6622;2867
365190.025;-2.29565217391;-3.47826086957;1.04347826087;-4.61071428571;3242.93383789;2687.40185547;2842.49316406;3188.27050781;3539.1328125;True;0;0;23.0659583421;24.1674045496;23.0659583421;21.9689986772;22.69515625;3675;11879;6237;2676;3652;11686;6084;2682;3881;11796;6198;2721
365194.825;-2.29565217391;-3.40869565217;1.04347826087;-4.67142857143;3265.81616211;2722.99658203;2885.71533203;3211.15283203;3539.1328125;True;0;0;23.0659583421;24.1674045496;23.0659583421;21.9689986772;22.69515625;3220;11402;5844;2606;3165;11258;5746;2606;3240;11390;5803;2641
365199.675;-2.22608695652;-3.33913043478;1.11304347826;-4.52857142857;3445.06103516;3439.97607422;3447.60351562;3433.61987305;3540.40405273;True;0;0;23.0659583421;24.1674045496;23.0659583421;20.876498198;22.50375;2895;10924;5396;2545;2866;10706;5395;2542;2695;10977;5483;2573
365205.075;-2.22608695652;-3.47826086957;1.04347826087;-4.56428571429;3455.23095703;3471.75708008;3473.02832031;3445.06103516;3540.40405273;True;0;0;23.0659583421;24.1674045496;23.0659583421;20.876498198;22.50375;2662;10268;4988;2489;2672;10152;4946;2481;2476;10524;5173;2505
365209.925;-2.15652173913;-3.47826086957;1.04347826087;-4.51785714286;3455.23095703;3471.75708008;3471.75708008;3445.06103516;3540.40405273;True;0;0;21.9689986772;24.1674045496;23.0659583421;20.876498198;22.31234375;2532;9788;4666;2443;2454;9611;4521;2432;2397;9996;4958;2452
365214.725;-2.15652173913;-3.40869565217;1.11304347826;-4.46428571429;3455.23095703;3471.75708008;3471.75708008;3443.78979492;3541.67529297;True;0;0;21.9689986772;23.0659583421;23.0659583421;20.876498198;22.1209375;2366;9482;4334;2412;2337;9058;4194;2393;2342;9415;4652;2418
365220.775;-2.22608695652;-3.33913043478;1.18260869565;-4.41071428571;3453.9597168;3470.48583984;3470.48583984;3443.78979492;3541.67529297;True;0;0;21.9689986772;23.0659583421;21.9689986772;20.876498198;21.92953125;2267;8942;3893;2388;2258;8509;3747;2361;2297;8873;4105;2391
365225.625;-2.22608695652;-3.40869565217;1.04347826087;-4.34285714286;3452.68847656;3470.48583984;3469.21459961;3442.51855469;3541.67529297;True;0;0;21.9689986772;23.0659583421;21.9689986772;19.7889736517;21.738125;2233;8350;3681;2375;2231;8145;3365;2343;2262;8391;3706;2369
365230.425;-2.22608695652;-3.40869565217;1.11304347826;-4.30714285714;3451.41723633;3469.21459961;3467.94335938;3442.51855469;3542.9465332;True;0;0;20.876498198;23.0659583421;21.9689986772;19.7889736517;21.54671875;2201;7902;3483;2365;2206;7781;3117;2328;2239;8047;3396;2346
365235.875;-2.22608695652;-3.47826086957;1.11304347826;-4.31071428571;3450.14599609;3467.94335938;3466.67211914;3442.51855469;3542.9465332;True;0;0;20.876498198;21.9689986772;21.9689986772;19.7889736517;21.3553125;2190;7512;3046;2370;2196;7471;2893;2327;2224;7640;3054;2348
365240.675;-2.29565217391;-3.47826086957;1.18260869565;-4.32142857143;3450.14599609;3467.94335938;3465.40087891;3441.24731445;3542.9465332;True;0;0;20.876498198;21.9689986772;20.876498198;19.7889736517;21.16390625;2194;7271;2917;2388;2196;7180;2677;2342;2225;7335;2667;2360
365245.475;-2.22608695652;-3.47826086957;1.11304347826;-4.10357142857;3448.87475586;3467.94335938;3465.40087891;3441.24731445;3544.21777344;True;0;0;20.876498198;21.9689986772;20.876498198;19.7889736517;20.9725;2205;7142;2662;2408;2206;7001;2383;2360;2234;7166;2383;2376
365251.525;-2.29565217391;-3.47826086957;1.11304347826;-4.23928571429;3447.60351562;3467.94335938;3465.40087891;3441.24731445;3544.21777344;True;0;0;19.7889736517;21.9689986772;20.876498198;18.7080961252;20.5896875;2223;7567;2459;2439;2224;7928;2275;2388;2251;7630;2070;2403
365256.375;-2.3652173913;-3.47826086957;1.11304347826;-4.17142857143;3448.87475586;3467.94335938;3465.40087891;3441.24731445;3545.48901367;True;0;0;19.7889736517;20.876498198;19.7889736517;18.7080961252;20.39828125;2250;5793;2294;2460;2250;5951;2123;2413;2277;6135;1971;2424
365261.175;-2.22608695652;-3.54782608696;1.04347826087;-3.87857142857;3447.60351562;3467.94335938;3465.40087891;3439.97607422;3545.48901367;True;0;0;19.7889736517;20.876498198;19.7889736517;18.7080961252;20.206875;2270;5178;2131;2454;2272;5284;2013;2402;2303;5389;1929;2418
365266.625;-2.3652173913;-3.54782608696;1.04347826087;-3.86785714286;3447.60351562;3467.94335938;3465.40087891;3441.24731445;3545.48901367;True;0;0;19.7889736517;20.876498198;19.7889736517;17.6315857807;19.8240625;2302;3832;1910;2474;2306;3994;1820;2423;2338;4238;1893;2439
365271.425;-2.29565217391;-3.54782608696;1.11304347826;-3.73571428571;3446.33227539;3467.94335938;3464.12963867;3441.24731445;3546.76025391;True;0;0;18.7080961252;19.7889736517;18.7080961252;17.6315857807;19.63265625;2331;1874;1857;2493;2334;1849;1781;2441;2367;1889;1845;2457
365276.225;-2.29565217391;-3.54782608696;1.04347826087;-3.77142857143;3446.33227539;3467.94335938;3464.12963867;3441.24731445;3546.76025391;True;0;0;18.7080961252;19.7889736517;18.7080961252;17.6315857807;19.24984375;2356;1767;1858;2509;2360;1753;1781;2457;2394;1770;1840;2472
365282.325;-2.22608695652;-3.61739130435;1.11304347826;-3.725;3446.33227539;3467.94335938;3464.12963867;3441.24731445;3548.03149414;True;0;0;18.7080961252;19.7889736517;18.7080961252;17.6315857807;19.0584375;2385;1724;1862;2526;2389;1715;1786;2474;2424;1720;1845;2489
365287.175;-2.22608695652;-3.54782608696;1.04347826087;-3.825;3447.60351562;3467.94335938;3464.12963867;3442.51855469;3548.03149414;True;0;0;17.6315857807;18.7080961252;18.7080961252;16.5594162037;18.675625;2405;1732;1863;2538;2410;1724;1788;2485;2445;1728;1847;2499
